,x_fit,Es_fit_ppf,y_utility
869,18487124272.075985,14.807510358925171,15.68481207364257
870,18489833264.438374,14.807421241831786,15.684192209976349
871,18492542256.800762,14.807332048241872,15.68357246161291
872,18495251249.163155,14.807242778155429,15.682952828513901
873,18497960241.525543,14.80715343157246,15.682333310641
874,18500669233.88793,14.807064008492958,15.681713907955931
875,18503378226.250324,14.80697450891693,15.681094620420419
876,18506087218.612713,14.806884932844374,15.68047544799618
877,18508796210.975105,14.806795280275288,15.67985639064498
878,18511505203.337494,14.806705551209676,15.679237448328598
879,18514214195.699883,14.806615745647534,15.678618621008836
880,18516923188.06227,14.806525863588863,15.677999908647497
881,18519632180.424664,14.806435905033664,15.677381311206416
882,18522341172.787052,14.80634586998194,15.676762828647421
883,18525050165.149445,14.806255758433682,15.67614446093242
884,18527759157.511833,14.806165570388899,15.675526208023262
885,18530468149.87422,14.806075305847585,15.67490806988187
886,18533177142.236614,14.805984964809745,15.674290046470178
887,18535886134.599003,14.805894547275376,15.673672137750096
888,18538595126.96139,14.80580405324448,15.673054343683594
889,18541304119.323784,14.805713482717051,15.67243666423265
890,18544013111.686172,14.805622835693097,15.671819099359263
891,18546722104.04856,14.805532112172614,15.671201649025438
892,18549431096.410954,14.805441312155603,15.67058431319321
893,18552140088.773342,14.805350435642062,15.669967091824642
894,18554849081.13573,14.805259482631994,15.669349984881777
895,18557558073.498123,14.805168453125397,15.668732992326717
896,18560267065.86051,14.805077347122271,15.668116114121547
897,18562976058.2229,14.804986164622617,15.667499350228416
898,18565685050.585293,14.804894905626435,15.666882700609436
899,18568394042.94768,14.804803570133725,15.66626616522679
900,18571103035.310074,14.804712158144484,15.665649744042627
901,18573812027.672462,14.804620669658718,15.665033437019167
902,18576521020.03485,14.804529104676423,15.664417244118615
903,18579230012.39724,14.804437463197598,15.663801165303184
904,18581939004.759632,14.804345745222244,15.663185200535146
905,18584647997.12202,14.804253950750363,15.662569349776737
906,18587356989.484413,14.804162079781953,15.661953612990267
907,18590065981.8468,14.804070132317015,15.66133799013804
908,18592774974.20919,14.803978108355548,15.660722481182349
909,18595483966.571583,14.803886007897553,15.660107086085558
910,18598192958.93397,14.803793830943029,15.659491804810004
911,18600901951.29636,14.803701577491976,15.658876637318066
912,18603610943.658752,14.803609247544395,15.658261583572138
913,18606319936.02114,14.803516841100286,15.657646643534639
914,18609028928.38353,14.80342435815965,15.657031817167995
915,18611737920.745922,14.803331798722484,15.656417104434619
916,18614446913.10831,14.80323916278879,15.655802505297011
917,18617155905.4707,14.803146450358566,15.65518801971764
918,18619864897.83309,14.803053661431814,15.654573647658998
919,18622573890.19548,14.802960796008534,15.65395938908362
920,18625282882.55787,14.802867854088728,15.653345243954009
921,18627991874.92026,14.802774835672391,15.652731212232744
922,18630700867.28265,14.802681740759525,15.65211729388239
923,18633409859.64504,14.802588569350132,15.651503488865526
924,18636118852.00743,14.80249532144421,15.650889797144764
925,18638827844.36982,14.802401997041759,15.650276218682732
926,18641536836.73221,14.80230859614278,15.64966275344206
927,18644245829.0946,14.802215118747274,15.649049401385417
928,18646954821.45699,14.802121564855238,15.648436162475473
929,18649663813.81938,14.802027934466674,15.647823036674922
930,18652372806.18177,14.801934227581581,15.647210023946483
931,18655081798.54416,14.801840444199959,15.646597124252882
932,18657790790.906548,14.80174658432181,15.645984337556865
933,18660499783.26894,14.801652647947131,15.645371663821201
934,18663208775.63133,14.801558635075926,15.644759103008662
935,18665917767.99372,14.80146454570819,15.644146655082059
936,18668626760.35611,14.801370379843927,15.643534320004212
937,18671335752.7185,14.801276137483136,15.642922097737953
938,18674044745.08089,14.801181818625814,15.642309988246126
939,18676753737.44328,14.801087423271966,15.641697991491604
940,18679462729.805668,14.80099295142159,15.641086107437294
941,18682171722.16806,14.800898403074683,15.640474336046102
942,18684880714.53045,14.800803778231248,15.63986267728092
943,18687589706.892838,14.800709076891287,15.639251131104714
944,18690298699.25523,14.800614299054796,15.638639697480444
945,18693007691.61762,14.800519444721777,15.63802837637108
946,18695716683.980007,14.800424513892228,15.637417167739612
947,18698425676.3424,14.800329506566152,15.63680607154906
948,18701134668.70479,14.800234422743548,15.636195087762454
949,18703843661.067177,14.800139262424414,15.635584216342838
950,18706552653.42957,14.800044025608752,15.634973457253263
951,18709261645.791958,14.799948712296564,15.63436281045683
952,18711970638.15435,14.799853322487843,15.633752275916615
953,18714679630.51674,14.799757856182596,15.633141853595772
954,18717388622.879128,14.799662313380821,15.632531543457398
955,18720097615.241516,14.799566694082518,15.63192134546467
956,18722806607.60391,14.799470998287685,15.631311259580736
957,18725515599.966297,14.799375225996325,15.630701285768811
958,18728224592.32869,14.799279377208435,15.630091423992056
959,18730933584.69108,14.799183451924018,15.629481674213732
960,18733642577.053467,14.799087450143071,15.628872036397041
961,18736351569.41586,14.798991371865597,15.628262510505282
962,18739060561.778248,14.798895217091594,15.6276530965017
963,18741769554.140636,14.798798985821062,15.627043794349586
964,18744478546.50303,14.798702678054003,15.626434604012259
965,18747187538.865417,14.798606293790414,15.625825525453031
966,18749896531.227806,14.798509833030296,15.625216558635257
967,18752605523.5902,14.798413295773651,15.6246077035223
968,18755314515.952587,14.798316682020477,15.62399896007752
969,18758023508.314976,14.798219991770775,15.623390328264314
970,18760732500.67737,14.798123225024545,15.6227818080461
971,18763441493.039757,14.798026381781787,15.622173399386323
972,18766150485.402145,14.797929462042498,15.621565102248418
973,18768859477.764538,14.797832465806682,15.620956916595823
974,18771568470.126926,14.797735393074337,15.620348842392055
975,18774277462.48932,14.797638243845466,15.619740879600592
976,18776986454.851707,14.797541018120064,15.619133028184953
977,18779695447.214096,14.797443715898133,15.618525288108671
978,18782404439.576485,14.797346337179675,15.617917659335307
979,18785113431.938877,14.79724888196469,15.617310141828417
980,18787822424.301266,14.797151350253174,15.616702735551579
981,18790531416.66366,14.79705374204513,15.6160954404684
982,18793240409.026047,14.796956057340559,15.615488256542509
983,18795949401.388435,14.796858296139458,15.614881183737518
984,18798658393.750828,14.796760458441828,15.614274222017107
985,18801367386.113216,14.79666254424767,15.61366737134492
986,18804076378.475605,14.796564553556985,15.613060631684675
987,18806785370.837997,14.796466486369772,15.612454003000037
988,18809494363.200386,14.796368342686028,15.611847485254758
989,18812203355.562775,14.796270122505756,15.611241078412565
990,18814912347.925167,14.796171825828958,15.610634782437211
