,xdata,Q,Qm,Wstart,Ctot,P,Ep,Ea
109,109,0.02,7.019492984022856e-05,0.0,0.0,0.0,5.25312,0.4555593795116528
110,110,0.03,3.860721141212571e-05,0.0,0.0,0.0,5.38624,0.44726139154838496
111,111,0.05,2.123396627666914e-05,0.0,0.0,0.0,5.181439999999999,0.4116600646232333
112,112,0.02,0.0019731634227999678,0.0,0.0,3.5548800000000003,5.0483199999999995,0.445997468578153
113,113,0.04,0.005800198399011214,0.0,0.0,0.75348,5.0688,0.4596631408889326
114,114,0.07,0.005703159855579655,0.0,0.0,0.0,5.07904,0.26215752016516564
115,115,0.07,0.004909080193892132,0.0,0.0,3.05256,5.2223999999999995,0.48437314966175543
116,116,0.13,0.024802282253718406,0.0,0.0,11.71758,4.92544,0.9037209131240853
117,117,0.13,0.0729497017195492,0.0,0.0,5.10048,5.03808,1.0728685584458313
118,118,0.24,0.21296733942467355,0.0,0.0,21.27132,5.03808,1.8147496678777815
119,119,0.26,0.3549023185947291,0.0,0.0,0.40571999999999997,5.44768,1.8324369191309597
120,120,0.25,0.23128092205397902,0.0,0.0,0.0,5.56032,1.1169476854374811
121,121,0.1,0.12831917421658953,100.0,0.0,0.0,5.1712,1.5972351025423124
122,122,0.11,0.07057554581912422,0.0,0.0,0.0,5.181439999999999,1.524946301229484
123,123,0.12,0.05660085386980672,0.0,0.0,3.8833199999999994,5.1097600000000005,1.4976897220468015
124,124,0.08,0.16718860258841275,0.0,0.0,10.79022,5.140479999999999,1.8153576887781064
125,125,0.13,0.39826646288739875,0.0,0.0,9.09972,4.75136,1.8445070371263073
126,126,0.13,0.4536760505357305,0.0,0.0,0.36708,4.864,1.7761120760068008
127,127,0.16,0.2834935320679101,0.0,0.0,0.0,5.16096,1.0812492903905258
128,128,0.09,0.15706413015715281,0.0,0.0,0.0,5.4784,1.8568761231521516
129,129,0.09,0.09279954459225778,0.0,0.0,2.58888,5.41696,1.7648672715880351
130,130,0.13,0.09671237235602048,0.0,0.0,2.9946,5.3964799999999995,1.779754235663216
131,131,0.18,0.11629690175359964,0.0,0.0,0.0,4.67968,0.8159312134222493
132,132,0.17,0.07116528155852256,0.0,0.0,0.0,4.59776,1.3988482723625137
133,133,0.2,0.0391409048571874,0.0,0.0,0.0,4.802560000000001,1.4019908258877098
134,134,0.2,0.021527497671453073,0.0,0.0,0.0,5.0483199999999995,1.4117616757571563
135,135,0.16,0.01184012371929919,0.0,0.0,0.0,5.12,1.368906156560842
136,136,0.13,0.006512068045614554,0.0,0.0,0.0,5.29408,1.3527958994513352
137,137,0.12,0.0035816374250880047,0.0,0.0,0.0,5.29408,1.291298476797825
138,138,0.13,0.03406967021837282,0.0,0.0,6.4915199999999995,5.232640000000001,1.3893290581588427
139,139,0.16,0.11331927394501645,0.0,0.0,4.45326,5.150720000000001,1.4598686389437008
140,140,0.2,0.3010252547050689,0.0,0.0,18.34434,5.365760000000001,2.1381498099043212
141,141,0.33,0.474356004486709,0.0,0.0,0.0,5.08928,1.1130262319181916
142,142,0.29,0.2960148936659665,0.0,0.0,0.58926,5.16096,1.8452504447701439
143,143,0.26,0.1628081915162816,0.0,0.0,0.0,5.44768,1.6578416664367075
144,144,0.25,0.08954450533395487,0.0,0.0,0.0,4.73088,1.54544208238001
145,145,0.21,0.1907678972887943,0.0,0.0,14.345099999999999,4.9152,1.948195088845646
146,146,0.26,0.4629354609446674,0.0,0.0,6.762,4.864,2.00168463322071
147,147,0.3,0.4776526190886191,0.0,0.0,0.5796,4.44416,1.7338868000103007
148,148,0.13,0.3011332853953044,0.0,0.0,0.0,4.64896,0.9687976005856164
149,149,0.11,0.40906633163317596,0.0,0.0,18.39264,4.48512,2.1050336162656316
150,150,0.26,0.8156451901863038,0.0,0.0,7.843919999999999,4.2598400000000005,2.03845966976696
151,151,1.1,2.4003311640177363,0.0,0.0,76.78733999999999,3.54304,3.8641759709320507
152,152,4.57,5.389120948500876,400.0,2.4017669822415737,24.02442,3.2256,3.252246445297294
153,153,2.6,7.225657052276232,0.0,0.0,44.23314,3.4304,3.6037224151647553
154,154,2.78,7.807109728570934,0.0,0.0,1.13022,4.42368,4.058635316375702
155,155,1.56,5.065012627515977,0.0,0.0,4.21176,4.42368,4.002282657226596
156,156,1.07,3.29024267957299,0.0,0.0,1.97064,3.9936,3.508470769698207
157,157,1.53,2.832477575007043,0.0,0.0,19.67742,3.67616,3.4224725082656478
158,158,2.41,3.4381246058633272,0.0,0.0,10.2396,3.6351999999999998,3.3039883498748712
159,159,1.79,3.6548902486517783,0.0,0.0,19.377959999999998,4.1983999999999995,3.951149060069609
160,160,2.36,3.9240029411793556,0.0,0.0,8.24964,4.0448,3.6692182799718607
161,161,4.03,4.298956862357954,0.0,0.0,31.86834,3.03104,2.9989447235931657
162,162,8.23,5.8369265426185555,0.0,0.0,22.86522,3.34848,3.2897110708522965
163,163,5.07,6.244469324710906,0.0,0.0,18.75006,3.84,3.7359996426846327
164,164,11.87,7.412685270963331,0.0,0.0,48.22272,4.116479999999999,4.411312083991635
165,165,17.07,10.684281733398834,0.0,0.0,51.6327,3.88096,4.25031912389561
166,166,24.23,13.737873707427191,0.0,0.0,58.04694,3.6147199999999997,4.049588274538569
167,167,28.48,16.165704059677985,0.0,0.0,55.48703999999999,2.84672,3.1808324263367185
168,168,30.61,17.91433736437328,0.0,0.0,62.08481999999999,3.21536,3.6652044736922993
169,169,22.78,18.178014924350386,0.0,0.0,33.35598,3.42016,3.618914973023004
170,170,20.85,18.12965961899702,0.0,0.0,79.96548,3.76832,4.496475659770908
171,171,28.13,18.394082063456665,0.0,0.0,7.3416,3.72736,3.690715353881899
172,172,17.31,13.97253519400229,0.0,0.0,36.060779999999994,3.28704,3.4811236497325653
173,173,21.65,14.225760377746624,0.0,0.0,54.39546,3.18464,3.5518049610657205
174,174,23.81,15.60512510772707,0.0,0.0,38.5917,3.39968,3.6472226040493494
175,175,37.66,15.15730735019452,0.0,0.0,36.76596,3.44064,3.6603597109986157
176,176,46.3,14.607046142074527,0.0,0.0,37.56774,3.45088,3.674591311755929
177,177,44.71,13.474014873316616,0.0,0.0,19.55184,3.45088,3.4850138167454907
178,178,38.51,10.984788863478308,0.0,0.0,14.07462,3.80928,3.7533921259820646
179,179,25.43,8.607533756060468,0.0,0.0,7.79562,4.2496,4.057401242492441
180,180,15.4,6.3512681521033665,0.0,0.0,0.95634,4.1472,3.7982429172268994
181,181,11.47,4.577429910926014,0.0,0.0,3.90264,3.7888,3.432846148886854
182,182,9.68,3.910746226255034,0.0,0.0,7.998479999999999,3.71712,3.378719845519661
183,183,26.92,7.79981222270685,0.0,0.0,104.84964000000001,3.6147199999999997,4.640640978862475
184,184,40.37,18.429320228873266,0.0,0.0,102.84035999999999,3.79904,4.6953757942193315
185,185,44.78,25.086792746151144,0.0,0.0,65.1084,3.5532800000000004,4.020423170710041
186,186,42.07,23.60892461588571,0.0,0.0,38.89116,4.1983999999999995,4.578827335785087
187,187,38.84,19.659148448066894,0.0,0.0,26.536019999999997,3.5328000000000004,3.6530333841778626
188,188,29.72,15.272647246944313,0.0,0.0,11.9301,3.6454400000000002,3.5855983726239353
189,189,21.16,11.492619052227786,0.0,0.0,14.441699999999999,3.25632,3.191821740802363
190,190,17.26,9.64684181113076,0.0,0.0,19.03986,2.9798400000000003,2.9515384000756963
191,191,26.13,9.671494895109138,0.0,0.0,32.844,3.4611199999999998,3.5888527207133234
192,192,21.83,10.493780943896839,0.0,0.0,23.4255,3.54304,3.588399982176977
193,193,21.37,10.17259157150324,0.0,0.0,19.95756,3.584,3.580276099355681
194,194,21.17,9.448319716439613,0.0,0.0,16.8567,3.88096,3.822824727727659
195,195,16.64,8.452132178904062,0.0,0.0,10.973759999999999,3.5532800000000004,3.4086055698589504
196,196,19.6,7.706617009329108,0.0,0.0,18.99156,3.6454400000000002,3.569624492834175
197,197,22.97,8.61311623988777,0.0,0.0,35.481179999999995,3.36896,3.492188926135921
198,198,20.67,9.559295643881038,0.0,0.0,12.96372,3.20512,3.1290901958063606
199,199,26.92,10.130276564219415,0.0,0.0,49.34328,2.816,3.0647423782956684
200,200,35.31,13.349816896391049,0.0,0.0,47.788019999999996,3.4304,3.756096632533249
201,201,36.27,15.532817549591014,0.0,0.0,45.43098,3.1744000000000003,3.453407688211066
202,202,34.52,15.463724380666259,0.0,0.0,22.54644,3.28704,3.3582948726590334
203,203,29.72,13.324966999843639,0.0,0.0,21.5418,3.71712,3.7612865282289416
204,204,31.22,12.516781558335644,0.0,0.0,37.21032,3.4611199999999998,3.65321893970348
205,205,34.36,13.821356138369676,0.0,0.0,45.55656,3.4713600000000002,3.7681284595633793
206,206,38.5,15.850217511879723,0.0,0.0,51.75828,3.5123200000000003,3.888757428329118
207,207,38.53,16.482178154648018,0.0,0.0,26.410439999999998,3.86048,3.9916082239736457
208,208,35.43,14.667005421338377,0.0,0.0,26.49738,3.75808,3.85724160428249
209,209,33.91,12.72621151996033,0.0,0.0,13.398419999999998,4.0448,3.9703168223437926
210,210,24.94,9.934544673910635,0.0,0.0,1.7774400000000001,3.584,3.3392617263814866
211,211,24.06,8.603551713572873,0.0,0.0,32.47692,3.45088,3.5286158485456967
212,212,32.09,11.179267966928546,0.0,0.0,51.65202,2.9491199999999997,3.2375612072118516
213,213,45.88,17.99756902017578,0.0,0.0,116.10354,3.75808,4.869450815333742
214,214,56.59,24.79027503592826,0.0,0.0,46.98624,3.39968,3.749504812542567
215,215,53.22,22.16977943611287,0.0,0.0,25.39614,3.65568,3.782098794175067
216,216,40.49,18.009542142143992,0.0,0.0,27.502019999999998,3.18464,3.2904036800590313
217,217,33.14,15.036215793494451,0.0,0.0,15.85206,3.4816,3.4674011396248448
218,218,25.0,12.12354703893688,0.0,0.0,10.9641,3.90144,3.792065863978311
219,219,16.96,9.841297221822709,0.0,0.0,9.205979999999998,3.92192,3.7430600468734694
220,220,16.09,8.287425785047265,0.0,0.0,8.172360000000001,3.88096,3.647322801580685
221,221,14.99,7.0677653559084845,0.0,0.0,3.21678,3.7888,3.454966175104136
222,222,12.52,6.011551772054949,0.0,0.0,4.56918,3.93216,3.54769534667516
223,223,12.53,5.353419517334828,0.0,0.0,2.1348599999999998,3.92192,3.4540995458956205
224,224,11.18,4.822503350503686,0.0,0.0,2.95596,3.88096,3.372258329515191
225,225,12.27,4.588957639306967,0.0,0.0,4.31802,3.86048,3.329850211695317
226,226,9.62,4.398050044961638,0.0,0.0,0.7148399999999999,3.90144,3.2732804508354136
227,227,9.8,4.343288583815443,0.0,0.0,9.4185,3.60448,3.1068003405694053
228,228,13.21,4.8446219061099685,0.0,0.0,9.843539999999999,3.8195200000000002,3.328416105505094
229,229,10.1,5.112258767726991,0.0,0.0,6.974519999999999,3.50208,3.029182550659385
230,230,10.05,4.9456512679913285,0.0,0.0,3.5548800000000003,4.13696,3.5177014045421147
231,231,8.51,4.550692521562154,0.0,0.0,2.55024,3.74784,3.1304278056185937
232,232,10.02,4.296931230807031,0.0,0.0,4.90728,3.7888,3.1655867211787783
233,233,9.95,4.210063468444936,0.0,0.0,3.10086,4.126720000000001,3.3987383105295352
234,234,9.04,4.205891644610869,0.0,0.0,8.017800000000001,3.95264,3.3076501315421334
235,235,8.82,4.334222304049937,0.0,0.0,4.06686,4.208640000000001,3.46669112099276
236,236,8.82,4.253338718413622,0.0,0.0,6.095459999999999,3.9936,3.298656666163702
237,237,8.16,4.120057248588042,0.0,0.0,1.18818,4.32128,3.4704888863634498
238,238,7.86,3.842024969404047,0.0,0.0,4.13448,4.27008,3.425051417224399
239,239,6.55,3.671598053988016,0.0,0.0,0.0,4.0652800000000004,2.0730052383558784
240,240,5.95,3.3447690804725836,0.0,0.0,0.29946,4.07552,3.133418365124711
241,241,5.42,3.1180647282487963,0.0,0.0,0.15456,4.23936,3.1896725396428494
242,242,5.52,3.00483224836763,0.0,0.0,2.7820799999999997,4.4544,3.3056862353834164
243,243,6.23,2.9721608833236566,0.0,0.0,0.90804,4.352,3.1705417748746423
244,244,12.25,3.142735493306128,100.0,0.3014080264289926,9.534419999999999,4.3724799999999995,3.338608573809462
245,245,5.57,3.3770128763541543,0.0,0.0,0.25116,3.93216,2.8921323224013835
246,246,6.02,3.176067694187083,0.0,0.0,2.6565,4.22912,3.107113899868363
247,247,4.86,3.041177511942989,0.0,0.0,0.0,4.167680000000001,2.022851295836997
